Customer_i_Unique_ID,Customer_i_ID,Customer_i_Star_Rating,Customer_i_Comment,Customer_i_buying_influence,Customer_i_Date,product,category,price_dollars,star_ratings,total_ratings
B08L64YGLS-R2XDX5EDQSDK1F,R2XDX5EDQSDK1F,5.0,Fantastic,0.0,2023-10-21,Five Nights at Freddy's: The Core Collection (NSW) - Nintendo Switch,video_games,19.93,4.7,4788
B01N5OKGLH-RRUZC22ZU7FTB,RRUZC22ZU7FTB,5.0,Bueno,0.0,2023-10-25,Super Smash Bros. Ultimate - US Version,video_games,50.55,4.8,68875
B08MQRQTKJ-R3O181F9WBJWYS,R3O181F9WBJWYS,4.0,"Quality product, good price!",0.0,2023-10-25,"BIC Xtra-Smooth Mechanical Pencils with Erasers, Bright Edition Medium Point (0.7mm), 40-Count Pack, Bulk Mechanical Pencils for School or Office Supplies",video_games,0.25,4.8,40996
B087CJF2YQ-RCLFPLC4A7H5L,RCLFPLC4A7H5L,4.0,Great handheld console,0.0,2023-10-25,"Handheld Game Console for Children, 8 Bit Retro 182 Classic Games Portable 2.5"" LCD Screen Video Game Player Support for Connecting TV Retro Video Gaming System for Kids Boys Girls Ages 4-12",video_games,24.99,3.8,2260
B07YKQBWQ4-R2MVS4PLNXEDLW,R2MVS4PLNXEDLW,2.0,having trouble operating the gaming system,0.0,2023-10-16,"DREAMHAX RG300 Portable Game Console with Open Source System Preload 10000 Games, Handheld Video Games Player with 16G + 32G TF Card 3 Inch IPS Screen, Arcade Retro Games Gifts (Gray)",video_games,61.99,4.1,645
144949515X-R3CSGWKZ0FP0L8,R3CSGWKZ0FP0L8,5.0,My son loved it,0.0,2023-10-10,Trapped in a Video Game: Robots Revolt (Volume 3),video_games,8.68,4.8,2634
B0BJF3S1XJ-RBRD7A9QU3CLR,RBRD7A9QU3CLR,5.0,Very smart lamp,0.0,2023-10-20,"ERAY LED Floor Lamp with Smart APP, Floor Lamp for Bedroom Living Room Corner, RGB Floor Lamp with Remote,16 Million Colors & Music Sync, Work with Alexa, Google Assistant",video_games,49.99,4.1,239
B0B41RC3WM-R3FN31HK5CT63L,R3FN31HK5CT63L,2.0,Eh it's fine..,0.0,2023-09-21,"MIHENCE [ 3PCS ] Compatible with Miyoo Mini Screen Protector, PET Premium Real HD Protective Film for Mini Handheld Game Console 2.8 inch",video_games,7.58,3.4,16
B0CB12SRJW-R2GMC4XSMBHF9T,R2GMC4XSMBHF9T,1.0,No me gustó el producto,0.0,2023-10-23,"Handheld Game for Children, Portable Retro Video Game with 500 Classic FC Games 2.8-Inch Color Screen, Retro Mini Game, Support TV Connection & Two Players",video_games,20.99,3.7,36
B08KWMYXRP-R1A0PL6GLOC267,R1A0PL6GLOC267,2.0,Writing style wastes a lot of time. Too much of a Star wars fan to write about video games?,0.0,2023-01-15,Video Game Storytelling: What Every Developer Needs to Know About Narrative Techniques,video_games,0.0,4.6,363
B08XPSCHRC-R18MX0QD80RQBL,R18MX0QD80RQBL,1.0,not happy with product at all,0.0,2023-10-18,GameNext Mini Game Console Childhood Video Game Consoles Built-in 620 Games with NES Dual Controllers Handheld Game Player Console Classic System Edition Plug & Play for Kids & Adults,video_games,29.99,3.5,338
B01N1037CV-R336D9ZWTX2USU,R336D9ZWTX2USU,5.0,Great game,0.0,2023-10-20,Mario Kart 8 Deluxe - US Version,video_games,43.5,4.9,71913
B0CJ3GM5CS-Unavailable,Unavailable,,Unavailable,,1677-09-21,Bluey: The Videogame- Nintendo Switch,video_games,39.99,0.0,0
B07RZ75JW3-R23TTDHHT6UK82,R23TTDHHT6UK82,5.0,Great,0.0,2023-10-26,"Roblox Digital Gift Code for 4,500 Robux [Redeem Worldwide - Includes Exclusive Virtual Item] [Online Game Code]",video_games,50.0,4.6,148530
B07RX6FBFR-R23TTDHHT6UK82,R23TTDHHT6UK82,5.0,Great,0.0,2023-10-26,"Roblox Digital Gift Code for 2,200 Robux [Redeem Worldwide - Includes Exclusive Virtual Item] [Online Game Code]",video_games,25.0,4.6,148530
B08ZXR1VQJ-R1BLS4EGQHUMNN,R1BLS4EGQHUMNN,1.0,"Wanted hours of fun, got hours of frustration instead.",0.0,2023-10-19,"Super Console X 256G, Retro Video Game Consoles Built in 117,000+ Classic Games,Game System for 4K HD/AV Output,Compatible with 60+ Emulators, 2 Wireless Controllers,Gift for Men/Boyfriend",video_games,89.99,3.7,374
B07XNM8S8V-R1DN961VTGQTSJ,R1DN961VTGQTSJ,5.0,VERY GOOD BUY,0.0,2023-09-15,"Old Skool Classiq 2 AV Version Twin Video Game System, Grey/Purple Compatible with SNES/NES Nintendo and Super Nintendo cartridges",video_games,49.99,4.5,394
B07RZ74VLR-R23TTDHHT6UK82,R23TTDHHT6UK82,5.0,Great,0.0,2023-10-26,Roblox Digital Gift Code for 800 Robux [Redeem Worldwide - Includes Exclusive Virtual Item] [Online Game Code],video_games,10.0,4.6,148530
